,htid,title,author,title_htrc,date,pub_date_htrc
0,nyp.33433076024060,The secret of the crater,"Osborne, Duffield,",,1900,
1,inu.30000042750632,A woman of Mars,"Ling, M. A. Moore Bentley",,1901,
2,njp.32101021206436,The first men in the moon,"Wells, H. G.",,1901,
3,nyp.33433074954656,Welsh rarebit tales,"Owen, Harle Oren.",,1902,
4,mdp.39015059642994,Strange case of Dr. Jekyl,"Stevenson, Robert Louis,",,1903,
5,nyp.33433074850870,The Princess Thora,"Harris-Burland, J. B.",,1904,
6,uc1.32106001959946,The food of the gods and,"Wells, H. G.",,1904,
7,nyp.33433074850961,The mortgage on the brain,"Harper, Vincent.",,1905,
8,njp.32101013621246,A crystal age,"Hudson, W. H.",,1906,
9,dul1.ark:/13960/t1qf9cr59,A time of terror,"Ford, Douglas Morey.",,1906,
10,uc2.ark:/13960/t10p0xs0f,The woman who vowed,"Harding, Ellison.",,1908,
11,nyp.33433075746895,A Columbus of space,"Serviss, Garrett Putman,",,1911,
12,coo.31924051019580,The lost world,"Doyle, Arthur Conan,",,1912,
13,mdp.39015031332862,Goslings,"Beresford, J. D.",,1913,
14,mdp.39015001553547,The scarlet plague,"London, Jack,",,1915,
15,uc2.ark:/13960/t2794143s,A princess of Mars,"Burroughs, Edgar Rice,",,1917,
16,nyp.33433075746812,The people of the ruins,"Shanks, Edward,",,1920,
17,mdp.39015004705862,Voyage To Arcturus,"Lindsay, David,","A voyage to Arcturus/Lindsay, David,",1920,1963
18,uc1.32106014383464,The mucker,"Burroughs, Edgar Rice,","Return of the mucker/Burroughs, Edgar Rice,",1921,1916
19,hvd.32044021192513,The chessmen of Mars,"Burroughs, Edgar Rice,","Chessmen of Mars/Burroughs, Edgar Rice,",1922,1922
20,dul1.ark:/13960/t16m3xm4f,Theodore savage,"Hamilton, Cicely,",,1922,
21,uc1.$b245181,Men like gods,"Wells, H. G.","Men like gods;/(Herbert George), Wells, H. G.",1923,1923
22,mdp.39015056433405,Pellucidar,"Burroughs, Edgar Rice,","Pellucidar/Burroughs, Edgar Rice,",1923,2002
23,None,The moon men,"Burroughs, Edgar Rice,",,1925,
24,mdp.39015063544467,Out of the silence,"Cox, Erle,","Out of the silence/Cox, Erle.",1928,1928
25,mdp.39015063975976,The island of Captain Spa,"Wright, S. Fowler,",,1928,
26,None,The master mind of Mars,"Burroughs, Edgar Rice,","Three Martian novels: Thuvia, maid of Mars. The chessmen of Mars. The master mind of Mars/Burroughs, Edgar Rice,",1928,1962
27,None,Tanar of Pellucidar,"Burroughs, Edgar Rice,",,1929,
28,iau.31858007043304,The monster men,"Burroughs, Edgar Rice,",,1929,
29,None,The planet of peril,"Kline, Otis Adelbert,",,1929,
30,uc1.$b63768,The purple cloud,"Shiel, M. P.","The purple cloud/(Matthew Phipps), Shiel, M. P.",1929,1946
31,mdp.39015069253121,Last and first men,"Stapledon, Olaf,","Last and first men/Stapledon, Olaf,",1930,1934
32,None,Maza of the moon,"Kline, Otis Adelbert,",,1930,
33,None,Tarzan at the earth's cor,"Burroughs, Edgar Rice,",,1930,
34,None,The prince of peril,"Kline, Otis Adelbert,",,1930,
35,uc1.32106002143938,Black no more,"Schuyler, George S.","Black no more;/ (George Samuel), Schuyler, George S. ",1931,1931
36,None,Brigands of the moon,"Cummings, Ray,",,1931,
37,None,Face in the abyss,"Merritt, Abraham,",,1931,
38,None,Murder madness,"Leinster, Murray,",,1931,
39,mdp.39015047532851,The night life of the god,"Smith, Thorne,","The night life of the gods/Smith, Thorne,",1931,2000
40,pst.000027847633,Brave new world,"Huxley, Aldous,","Brave new world/Huxley, Aldous,",1932,1932
41,inu.39000002841497,Last men in London,"Stapledon, Olaf,","Last men in London/Stapledon, Olaf,",1932,1963
42,mdp.39015003665430,It can't happen here,"Lewis, Sinclair,","It can't happen here;/Lewis, Sinclair,",1935,1935
43,uc1.$b105995,Star-begotten,"Wells, H. G.","Star-begotten;/(Herbert George), Wells, H. G.",1937,1937
44,uc1.$b57112,Zero to eighty,"Pseudoman, Akkad,",,1937,
45,uc1.b3184615,Carson of Venus,"Burroughs, Edgar Rice","Carson of Venus/Burroughs, Edgar Rice,",1938,
46,mdp.39015019230302,Galactic Patrol,"Smith, E. E.","Galactic patrol/Smith, E. E. (Edward Elmer),",1938,1982
47,uc1.$b604952,Out of the Silent Planet,"Lewis, C. S.","Out of the silent planet/Lewis, C. S. (Clive Staples),",1938,1943
48,osu.32435059969030,The Legion of Time,"Williamson, Jack","The legion of time/Williamson, Jack,",1938,1963
49,mdp.39015008521117,The Sword in the Stone,"White, T. H.","The sword in the stone/(Terence Hanbury), White, T. H.",1938,1939
50,None,The adventure of Wyndham,"Wright, S. Fowler,",,1938,
51,uc1.b4089313,The doomsday men,"Priestley, J. B.","The doomsday men;/(John Boynton), Priestley, J. B.",1938,1938
52,None,The lad and the lion,"Burroughs, Edgar Rice,",,1938,
53,mdp.39015019147258,Gray Lensman,"Smith, E. E.","Gray Lensman/Smith, E. E. (Edward Elmer),",1940,1983
54,uc1.32106002254784,Kallocain,"Boye, Karin","Kallocain/Boye, Karin,",1940,1966
55,mdp.39076005052605,The Ill-Made Knight,"White, T. H.","The ill-made knight/(Terence Hanbury), White, T. H.",1940,1940
56,mdp.39015002143181,The Reign of Wizardry,"Williamson, Jack","The reign of wizardry/Williamson, Jack,",1940,1979
57,uc1.b4422553,The metal monster,"Merritt, Abraham,","The metal monster/Merritt, Abraham,",1941,1974
58,mdp.39015013291235,Beyond This Horizon,"Heinlein, Robert A.","Beyond this horizon/Heinlein, Robert A. (Robert Anson),",1942,1948
59,None,Burn: witch: burn!,"Merritt, Abraham,","The effect of environmental factors, including wildfire and prescribed burning on the regeneration of oaks in Indiana/Merritt, Clair,",1942,1991
60,uc1.32106002015425,Darkness and the light,"Stapledon, Olaf,","Darkness and the light/Stapledon, Olaf,",1942,1974
61,None,Donovan's Brain,"Siodmak, Curt",,1942,
62,coo.31924014518355,Islandia,"Wright, Austin Tappan","Islandia/Wright, Austin Tappan,",1942,1942
63,,Second Stage Lensmen,"Smith, E. E.",,1942,
64,mdp.39015018621212,The Uninvited,"Macardle, Dorothy","The uninvited/Macardle, Dorothy,",1942,1942
65,osu.32435059733857,Conjure Wife,"Leiber, Fritz","Conjure wife/Leiber, Fritz,",1943,1953
66,mdp.39015002131400,Das Glasperlenspiel (The Glass Bead Game),"Hesse, Hermann",,1943,
67,mdp.39015013946481,Earth's Last Citadel,"Moore, C. L., Kuttner, Henry","Earth's last citadel/Moore, C. L. (Catherine Lucile),",1943,1977
68,mdp.39015014137973,"Gather, Darkness!","Leiber, Fritz","Gather, darkness!/Leiber, Fritz,",1943,1968
69,mdp.39015002384652,Perelandra,"Lewis, C. S.","Perelandra/Lewis, C. S. (Clive Staples),",1943,1944
70,mdp.39015017656870,The Weapon Makers,van Vogt A. E.,"The weapon makers/Van Vogt, A. E. (Alfred Elton),",1943,1979
71,mdp.39015068829962,Land of terror,"Burroughs, Edgar Rice,","Land of terror/Burroughs, Edgar Rice,",1944,2007
72,,Destiny Times Three,"Leiber, Fritz",,1945,
73,None,Red Sun of Danger (also known as Danger Planet),"Hamilton, Edmond",,1945,
74,mdp.39015002384827,That hideous strength,"Lewis, C. S.","Hideous strength/Lewis, C. S. (Clive Staples),",1945,1946
75,,The Mule,"Asimov, Isaac",,1945,
76,mdp.39015001771503,The World of Null-A,van Vogt A. E.,"The world of Null-A/Van Vogt, A. E. (Alfred Elton),",1945,1977
77,mdp.39015000605298,Anthem,"Rand, Ayn,","Anthem/Rand, Ayn.",1946,1953
78,mdp.39015012826536,Slan,"Van Vogt, A. E. 1912-  (A","Slan/Van Vogt, A. E. (Alfred Elton),",1946,1975
79,None,The green man,"Sherman, Harold M.",,1946,
80,mdp.39015056438271,The shadow girl,"Cummings, Ray,","The shadow girl/Cummings, Ray",1946,1962
81,osu.32435057545741,The solar invasion,"Wellman, Manly Wade,","The solar invasion/Wellman, Manly Wade,",1946,1946
82,,The time stream,"Taine, John,",,1946,
83,mdp.39015005690295,Rocket ship Galileo,"Heinlein, Robert A.","Rocket ship Galileo;/Heinlein, Robert A. (Robert Anson),",1947,1947
84,None,The forbidden garden,"Taine, John,",,1947,
85,mdp.39015066688246,Darker than you think,"Williamson, Jack,","Darker than you think/Williamson, Jack,",1948,1975
86,mdp.39015050618357,Skylark three,"Smith, E. E.","Skylark three/Smith, E. E. (Edward Elmer),",1948,1975
87,,Two stories by Derleth,"Derleth, August,",,1948,
88,mdp.39015034651441,Nineteen eighty-four,"Orwell, George,","Nineteen eighty-four/Orwell, George,",1949,1949
89,None,Seven out of time,"Zagat, Arthur Leo,",,1949,
90,mdp.39015009199327,Earth Abides,"Stewart, George R.",,1949,1949
91,None,The Amphibians,"Wright, S. Fowler,","Field note-book of fishes, amphibians, reptiles and mammals, by A.H. Wright and A.A. Allen/Wright, Albert Hazen,",1949,1913
92,uc1.b4948645,A man divided,"Stapledon, Olaf,","Olaf Stapledon, a man divided/Fiedler, Leslie A.",1950,1983
93,mdp.39015027254021,Farmer in the Sky,"Heinlein, Robert A.","Farmer in the sky/Heinlein, Robert A. (Robert Anson),",1950,1975
94,mdp.39015019230310,First Lensman,"Smith, E. E.","First Lensman/Smith, E. E. (Edward Elmer),",1950,1983
95,mdp.39015046370600,I: robot,"Asimov, Isaac,","The collected fiction of Isaac Asimov/Asimov, Isaac,",1950,1979
96,mdp.39015049634820,Pebble in the Sky,"Asimov, Isaac","Pebble in the sky/Asimov, Isaac,",1950,1968
97,mdp.39015008828157,The Dying Earth,"Vance, Jack","The dying earth/Vance, Jack,",1950,1950
98,pst.000028266402,"The Lion, the Witch and the Wardrobe","Lewis, C. S.","The lion, the witch, and the wardrobe/(Clive Staples), Lewis, C. S.",1950,1950
99,osu.32435059312066,The house that stood stil,"Van Vogt, A. E. 1912-2000",,1950,
100,,Worlds within,"Phillips, Rog,",,1950,
101,inu.30000011367970,Foundation,"Asimov, Isaac,","Second foundation/Asimov, Isaac,",1951,1953
102,mdp.39015005003440,The disappearance,"Wylie, Philip,","The disappearance/Wylie, Philip,",1951,1951
103,,The house of many worlds,"Merwin, Sam,",,1951,
104,,Wine of the dreamers,"MacDonald, John D.",,1951,
105,mdp.49015001037275,Foundation and empire,"Asimov, Isaac,","Foundation and empire/Asimov, Isaac,",1952,1952
106,mdp.39015066050850,Player piano,"Vonnegut, Kurt,","Player piano/Vonnegut, Kurt.",1952,1952
107,,Son of the stars,"Jones, Raymond F.",,1952,
108,mdp.39015012120492,The Demolished Man,"Bester, Alfred","The demolished man/Bester, Alfred.",1952,1953
109,mdp.39015066110555,Childhood's End,"Clarke, Arthur C.","Childhood's end/Clarke, Arthur C. (Arthur Charles),",1953,1953
110,mdp.39015046337054,Fahrenheit 451,"Bradbury, Ray,","Fahrenheit 451;/Bradbury, Ray,",1953,1953
111,pst.000061659452,Mission of Gravity,"Clement, Hal","Mission of gravity/Clement, Hal,",1953,1978
112,mdp.39015014506805,More Than Human,"Sturgeon, Theodore","More than human/Sturgeon, Theodore.",1953,1953
113,None,Mystery of the third mine,"Lowndes, Robert W,",,1953,
114,inu.30000011367970,Second foundation,"Asimov, Isaac,","Second foundation/Asimov, Isaac,",1953,1953
115,,The Caves of Steel,"Asimov, Isaac",,1953,
116,uc1.b3184251,The lights in the sky are,"Brown, Fredric,","The Lights in the sky are stars/Brown, Fredric,",1953,
117,,West of the sun,"Pangborn, Edgar,",,1953,
118,,I am legend,"Matheson, Richard,",,1954,
119,,Step to the stars,"Del Rey, Lester,",,1954,
120,mdp.39015010749433,The star beast,"Heinlein, Robert A.","The star beast/Heinlein, Robert A. (Robert Anson),",1954,1977
121,uc1.b3462013,They'd Rather Be Right (also known as The Forever Machine),"Clifton, Mark, Riley, Frank",,1954,
122,,Call Him Dead (also known as Three to Conquer),"Russell, Eric Frank",,1955,
123,mdp.39015000626039,Not This August,"Kornbluth, Cyril M.","Not this August/Kornbluth, C. M. (Cyril M.),",1955,1955
124,mdp.39015002288762,The End of Eternity,"Asimov, Isaac","The end of eternity/Asimov, Isaac,",1955,1955
125,uc1.b3861627,The Long Tomorrow,"Brackett, Leigh","The long tomorrow/Brackett, Leigh.",1955,1974
126,mdp.39015062108892,Double star,"Heinlein, Robert A.","Double star/Heinlein, Robert A. (Robert Anson),",1956,1978
127,,Mission to the moon,"Del Rey, Lester,",,1956,
128,,Doomsday morning,"Moore, C. L.",,1957,
129,pst.000068121075,Eye in the sky,"Dick, Philip K,","Eye in the sky/Dick, Philip K.",1957,1971
130,uc1.32106014483108,The Big Time,"Leiber, Fritz","The big time/Leiber, Fritz,",1957,19uu
131,inu.32000009540750,The black cloud,"Hoyle, Fred,","The black cloud/Sir. Hoyle, Fred,",1957,1957
132,uc1.32106012870439,A Case of Conscience,"Blish, James","A case of conscience/Blish, James",1958,1958
133,mdp.39015035342586,Have Space Suit  Will Travel,"Heinlein, Robert A.","Have space suit--will travel/(Robert Anson), Heinlein, Robert A.",1958,1958
134,,"Time Killer (also known as Immortality, Inc.)","Sheckley, Robert",,1958,
135,None,We Have Fed Our Sea (also known as The Enemy Stars),"Anderson, Poul",,1958,
136,osu.32435053307344,Who?,"Budrys, Algis","False night/Budrys, Algis,",1958,1954
137,,Dorsai! (also known as The Genetic General),"Dickson, Gordon R.",,1959,
138,,Not in solitude,"Gantz, Kenneth Franklin,",,1959,
139,mdp.39015038922574,Starship troopers,"Heinlein, Robert A.","Starship troopers/Heinlein, Robert A. (Robert Anson),",1959,1983
140,,That Sweet Little Old Lady (also known as Brain Twister),"Phillips, Mark",,1959,
141,,The Pirates of Ersatz (also known as The Pirates of Zan),"Leinster, Murray",,1959,
142,pst.000029136407,The Sirens of Titan,"Vonnegut, Kurt","The sirens of Titan/Vonnegut, Kurt.",1959,1959
143,pst.000013669980,A Canticle for Leibowitz,"Miller, Walter M.",,1960,
144,mdp.49015000617523,Deathworld,"Harrison, Harry","The Deathworld trilogy/Harrison, Harry.",1960,1987
145,mdp.39015007036448,Rogue Moon,"Budrys, Algis","Rogue Moon/Budrys, Algis,",1960,1960
146,,Store of infinity,"Sheckley, Robert,",,1960,
147,umn.319510023976924,The High Crusade,"Anderson, Poul",,1960,
148,mdp.39015014854346,Venus Plus X,"Sturgeon, Theodore","Venus plus X/Sturgeon, Theodore.",1960,1960
149,,Dark universe,"Galouye, Daniel F,",,1961,
150,,Planet of the Damned (also known as Sense of Obligation),"Harrison, Harry",,1961,
151,,Second Ending,"White, James",,1961,
152,mdp.39015003922005,Stranger in a Strange Land,"Heinlein, Robert A.","Stranger in a strange land/Heinlein, Robert A. (Robert Anson),",1961,1961
153,,The Fisherman (also known as Time is the Simplest Thing),"Simak, Clifford D.",,1961,
154,mdp.39015020680461,A Fall of Moondust,"Clarke, Arthur C.","A fall of moondust/Clarke, Arthur C. (Arthur Charles),",1962,1961
155,pst.000027212882,A wrinkle in time,"L'Engle, Madeleine,","A wrinkle in time/L'Engle, Madeleine.",1962,1967
156,coo.31924001398258,Island,"Huxley, Aldous,","Island/Huxley, Aldous,",1962,1972
157,osu.32435055416200,Little Fuzzy,"Piper, H. Beam","Little Fuzzy/Piper, H. Beam.",1962,1962
158,mdp.39015005906592,Something wicked this way,"Bradbury, Ray,","Something wicked this way comes/Bradbury, Ray,",1962,1963
159,,Sylva,"Bruller, Jean",,1962,
160,mdp.39015020677434,The Man in the High Castle,"Dick, Philip K.","The man in the high castle/Dick, Philip K.",1962,1975
161,mdp.39015002691262,The Sword of Aldones,"Bradley, Marion Zimmer","The sword of Aldones/Bradley, Marion Zimmer.",1962,1977
162,,Unwise child,"Garrett, Randall,",,1962,
163,,When they come from space,"Clifton, Mark,",,1962,
164,mdp.49015002517150,Cat's Cradle,"Vonnegut, Kurt,","Cat's cradle/Vonnegut, Kurt.",1963,1988
165,None,Dune World,"Herbert, Frank",,1963,
166,mdp.39015049645875,Glory Road,"Heinlein, Robert A.","Glory road;/(Robert Anson), Heinlein, Robert A.",1963,1963
167,,Here Gather the Stars (also known as Way Station),"Simak, Clifford D.",,1963,
168,inu.39000000059332,Witch World,"Norton, Andre","Witch world/Norton, Andre.",1963,1963
169,,Close to critical,"Clement, Hal,",,1964,
170,mdp.39015014695517,Davy,"Pangborn, Edgar","Davy/Pangborn, Edgar,",1964,1975
171,,Nova Express,"Burroughs, William S.",,1964,
172,,The Planet Buyer (also known as The Boy Who Bought Old Earth),"Smith, Cordwainer",,1964,
173,mdp.39015003899278,The Wanderer,"Leiber, Fritz","The wanderer/Leiber, Fritz,",1964,1964
174,uc1.b3472503,The Whole Man,"Brunner, John","The whole man/Brunner, John,",1964,1969
175,,...And Call Me Conrad (also known as This Immortal),"Zelazny, Roger",,1965,
176,inu.30000092695174,A Plague of Demons,"Laumer, Keith","A plague of demons and other stories/Laumer, Keith,",1965,2003
177,,All Flesh is Grass,"Simak, Clifford D.",,1965,
178,,Code three,"Raphael, Rick,",,1965,
179,,"Dr. Bloodmoney, or How We Got Along After the Bomb","Dick, Philip K.",,1965,
180,inu.30000000989198,Dune,"Herbert, Frank","The notebooks of Frank Herbert's Dune/Herbert, Frank.",1965,1988
181,,Rogue Dragon,"Davidson, Avram",,1965,
182,mdp.39015014859287,Skylark DuQuesne,"Smith, Edward E.","Skylark DuQuesne/Smith, E. E. (Edward Elmer),",1965,1970
183,uc1.c2934177,The Clone,"Thomas, Theodore L., Wilhelm, Kate","Constructions in clone theory/Tschantz, Steven Thomas.",1965,1983
184,,The Escape Orbit,"White, James",,1965,
185,mdp.39015004030758,The Genocides,"Disch, Thomas M.","The genocides/Disch, Thomas M.",1965,1978
186,None,The Ship That Sailed the Time Stream,"Edmondson, G. C.",,1965,
187,mdp.39015016450234,The Squares of the City,"Brunner, John","The squares of the city/Brunner, John,",1965,1965
188,uc1.b4381195,The Star Fox,"Anderson, Poul","The star fox/Anderson, Poul,",1965,1965
189,mdp.39015066408991,The Three Stigmata of Palmer Eldritch,"Dick, Philip K.","The three stigmata of Palmer Eldritch/Dick, Philip K.",1965,1979
190,mdp.39015005320745,Babel-17,"Delany, Samuel R,","Babel-17/Delany, Samuel R.",1966,1976
191,,Day of the Minotaur,"Swann, Thomas Burnett",,1966,
192,mdp.39015024077193,Fantastic voyage,"Asimov, Isaac,","Fantastic voyage;/Asimov, Isaac,",1966,1966
193,mdp.39015000670789,Flowers for Algernon,"Keyes, Daniel","Flowers for Algernon/Keyes, Daniel.",1966,1966
194,,Now wait for last year,"Dick, Philip K,",,1966,
195,mdp.39015010450529,The Moon Is a Harsh Mistress,"Heinlein, Robert A.","The moon is a harsh mistress/Heinlein, Robert A. (Robert Anson),",1966,1968
196,mdp.39015008918743,The eyes of Heisenberg,"Herbert, Frank,","The eyes of Heisenberg/Herbert, Frank.",1966,1970
197,,The witches of Karres,"Schmitz, James H.",,1966,
198,mdp.39015012178250,This immortal,"Zelazny, Roger,","This immortal/Zelazny, Roger.",1966,1966
199,,Too Many Magicians,"Garrett, Randall",,1966,
200,,Chthon,"Anthony, Piers",,1967,
201,mdp.39015008978879,Lord of Light,"Zelazny, Roger","Lord of light/Zelazny, Roger.",1967,1967
202,,The Butterfly Kid,"Anderson, Chester",,1967,
203,uc1.b3862883,The Einstein Intersection,"Delany, Samuel R.","The Einstein intersection/Delany, Samuel R.",1967,1967
204,mdp.39015057013735,The Eskimo Invasion,"Howard, Hayden","The eskimo invasion/Howard, Hayden.",1967,1967
205,mdp.39015010537812,Thorns,"Silverberg, Robert","Thorns/Silverberg, Robert.",1967,1969
206,None,Black Easter,"Blish, James",,1968,
