htid,author,date,title
nyp.33433076024060,"Osborne, Duffield,",1900,The secret of the crater
inu.30000042750632,"Ling, M. A. Moore Bentley",1901,A woman of Mars
njp.32101021206436,"Wells, H. G.",1901,The first men in the moon
nyp.33433074954656,"Owen, Harle Oren.",1902,Welsh rarebit tales
mdp.39015059642994,"Stevenson, Robert Louis,",1903,Strange case of Dr. Jekyl
nyp.33433074850870,"Harris-Burland, J. B.",1904,The Princess Thora
uc1.32106001959946,"Wells, H. G.",1904,The food of the gods and 
nyp.33433074850961,"Harper, Vincent.",1905,The mortgage on the brain
njp.32101013621246,"Hudson, W. H.",1906,A crystal age
dul1.ark+=13960=t1qf9cr59,"Ford, Douglas Morey.",1906,A time of terror
uc2.ark+=13960=t10p0xs0f,"Harding, Ellison.",1908,The woman who vowed
nyp.33433075746895,"Serviss, Garrett Putman,",1911,A Columbus of space
coo.31924051019580,"Doyle, Arthur Conan,",1912,The lost world
mdp.39015031332862,"Beresford, J. D.",1913,Goslings
mdp.39015001553547,"London, Jack,",1915,The scarlet plague
uc2.ark+=13960=t2794143s,"Burroughs, Edgar Rice,",1917,A princess of Mars
nyp.33433075746812,"Shanks, Edward,",1920,The people of the ruins
LindsayVoyageToArcturus1920,"Lindsay, David,",1920,Voyage To Arcturus
4528,"Burroughs, Edgar Rice,",1921,The mucker
4655,"Burroughs, Edgar Rice,",1922,The chessmen of Mars
dul1.ark+=13960=t16m3xm4f,"Hamilton, Cicely,",1922,Theodore savage
11018,"Wells, H. G.",1923,Men like gods
10008,"Burroughs, Edgar Rice,",1923,Pellucidar
10235,"Burroughs, Edgar Rice,",1925,The moon men
11226,"Cox, Erle,",1928,Out of the silence
11242,"Wright, S. Fowler,",1928,The island of Captain Spa
10053,"Burroughs, Edgar Rice,",1928,The master mind of Mars
10301,"Burroughs, Edgar Rice,",1929,Tanar of Pellucidar
10302,"Burroughs, Edgar Rice,",1929,The monster men
10310,"Kline, Otis Adelbert,",1929,The planet of peril
11274,"Shiel, M. P.",1929,The purple cloud
11305,"Stapledon, Olaf,",1930,Last and first men
10336,"Kline, Otis Adelbert,",1930,Maza of the moon
10083,"Burroughs, Edgar Rice,",1930,Tarzan at the earth's cor
10337,"Kline, Otis Adelbert,",1930,The prince of peril
10361,"Schuyler, George S.",1931,Black no more
10090,"Cummings, Ray,",1931,Brigands of the moon
10096,"Merritt, Abraham,",1931,Face in the abyss
10355,"Leinster, Murray,",1931,Murder madness
10357,"Merritt, Abraham,",1931,The face in the abyss
10362,"Smith, Thorne,",1931,The night life of the god
11043,"Huxley, Aldous,",1932,Brave new world
11385,"Stapledon, Olaf,",1932,Last men in London
10476,"Lewis, Sinclair,",1935,It can't happen here
11552,"Wells, H. G.",1937,Star-begotten
10526,"Pseudoman, Akkad,",1937,Zero to eighty
 ,"Burroughs, Edgar Rice",1938,Carson of Venus
 ,"Smith, E. E.",1938,Galactic Patrol
 ,"Lewis, C. S.",1938,Out of the Silent Planet
 ,"Williamson, Jack",1938,The Legion of Time
 ,"White, T. H.",1938,The Sword in the Stone
11591,"Wright, S. Fowler,",1938,The adventure of Wyndham 
11584,"Priestley, J. B.",1938,The doomsday men
10542,"Burroughs, Edgar Rice,",1938,The lad and the lion
 ,"Smith, E. E.",1940,Gray Lensman
 ,"Boye, Karin",1940,Kallocain
 ,"White, T. H.",1940,The Ill-Made Knight
 ,"Williamson, Jack",1940,The Reign of Wizardry
10645,"Merritt, Abraham,",1941,The metal monster
 ,"Heinlein, Robert A.",1942,Beyond This Horizon
10679,"Merritt, Abraham,",1942,Burn: witch: burn!
11711,"Stapledon, Olaf,",1942,Darkness and the light
 ,"Siodmak, Curt",1942,Donovan's Brain
 ,"Wright, Austin Tappan",1942,Islandia
 ,"Smith, E. E.",1942,Second Stage Lensmen
 ,"Macardle, Dorothy",1942,The Uninvited
 ,"Leiber, Fritz",1943,Conjure Wife
 ,"Hesse, Hermann",1943,Das Glasperlenspiel (The Glass Bead Game)
 ,"Moore, C. L., Kuttner, Henry",1943,Earth's Last Citadel
 ,"Leiber, Fritz",1943,"Gather, Darkness!"
 ,"Lewis, C. S.",1943,Perelandra
 ,van Vogt A. E.,1943,The Weapon Makers
10736,"Burroughs, Edgar Rice,",1944,Land of terror
 ,"Leiber, Fritz",1945,Destiny Times Three
 ,"Hamilton, Edmond",1945,Red Sun of Danger (also known as Danger Planet)
11778,"Lewis, C. S.",1945,That hideous strength
 ,"Asimov, Isaac",1945,The Mule
 ,van Vogt A. E.,1945,The World of Null-A
10181,"Rand, Ayn,",1946,Anthem
10832,"Van Vogt, A. E. 1912-  (A",1946,Slan
10827,"Sherman, Harold M.",1946,The green man
10808,"Cummings, Ray,",1946,The shadow girl
10834,"Wellman, Manly Wade,",1946,The solar invasion
10829,"Taine, John,",1946,The time stream
10853,"Heinlein, Robert A.",1947,Rocket ship Galileo
10874,"Taine, John,",1947,The forbidden garden
10923,"Williamson, Jack,",1948,Darker than you think
10917,"Smith, E. E.",1948,Skylark three
Derleth1948,"Derleth, August,",1948,Two stories by Derleth
11096,"Orwell, George,",1949,Nineteen eighty-four
10968,"Zagat, Arthur Leo,",1949,Seven out of time
11900,"Wright, S. Fowler,",1949,The Amphibians
11927,"Stapledon, Olaf,",1950,A man divided
 ,"Heinlein, Robert A.",1950,Farmer in the Sky
 ,"Smith, E. E.",1950,First Lensman
10970,"Asimov, Isaac,",1950,I: robot
 ,"Asimov, Isaac",1950,Pebble in the Sky
 ,"Vance, Jack",1950,The Dying Earth
 ,"Lewis, C. S.",1950,"The Lion, the Witch and the Wardrobe"
11013,"Van Vogt, A. E. 1912-2000",1950,The house that stood stil
11004,"Phillips, Rog,",1950,Worlds within
20002,"Asimov, Isaac,",1951,Foundation
20041,"Wylie, Philip,",1951,The disappearance
20026,"Merwin, Sam,",1951,The house of many worlds
20021,"MacDonald, John D.",1951,Wine of the dreamers
20044,"Asimov, Isaac,",1952,Foundation and empire
20079,"Vonnegut, Kurt,",1952,Player piano
20065,"Jones, Raymond F.",1952,Son of the stars
 ,"Bester, Alfred",1952,The Demolished Man
 ,"Clarke, Arthur C.",1953,Childhood's End
20088,"Bradbury, Ray,",1953,Fahrenheit 451
 ,"Clement, Hal",1953,Mission of Gravity
 ,"Sturgeon, Theodore",1953,More Than Human
20106,"Lowndes, Robert W,",1953,Mystery of the third mine
20083,"Asimov, Isaac,",1953,Second foundation
 ,"Asimov, Isaac",1953,The Caves of Steel
20089,"Brown, Fredric,",1953,The lights in the sky are
20114,"Pangborn, Edgar,",1953,West of the sun
20152,"Matheson, Richard,",1954,I am legend
20133,"Del Rey, Lester,",1954,Step to the stars
20139,"Heinlein, Robert A.",1954,The star beast
 ,"Clifton, Mark, Riley, Frank",1954,They'd Rather Be Right (also known as The Forever Machine)
 ,"Russell, Eric Frank",1955,Call Him Dead (also known as Three to Conquer)
 ,"Kornbluth, Cyril M.",1955,Not This August
 ,"Asimov, Isaac",1955,The End of Eternity
 ,"Brackett, Leigh",1955,The Long Tomorrow
20233,"Heinlein, Robert A.",1956,Double star
20222,"Del Rey, Lester,",1956,Mission to the moon
20293,"Moore, C. L.",1957,Doomsday morning
20270,"Dick, Philip K,",1957,Eye in the sky
 ,"Leiber, Fritz",1957,The Big Time
23487,"Hoyle, Fred,",1957,The black cloud
 ,"Blish, James",1958,A Case of Conscience
 ,"Heinlein, Robert A.",1958,Have Space Suit — Will Travel
 ,"Sheckley, Robert",1958,"Time Killer (also known as Immortality, Inc.)"
 ,"Anderson, Poul",1958,We Have Fed Our Sea (also known as The Enemy Stars)
 ,"Budrys, Algis",1958,Who?
 ,"Dickson, Gordon R.",1959,Dorsai! (also known as The Genetic General)
20370,"Gantz, Kenneth Franklin,",1959,Not in solitude
20374,"Heinlein, Robert A.",1959,Starship troopers
 ,"Phillips, Mark",1959,That Sweet Little Old Lady (also known as Brain Twister)
 ,"Leinster, Murray",1959,The Pirates of Ersatz (also known as The Pirates of Zan)
 ,"Vonnegut, Kurt",1959,The Sirens of Titan
 ,"Jr., Walter M. Miller,",1960,A Canticle for Leibowitz
 ,"Harrison, Harry",1960,Deathworld
 ,"Budrys, Algis",1960,Rogue Moon
20427,"Sheckley, Robert,",1960,Store of infinity
 ,"Anderson, Poul",1960,The High Crusade
 ,"Sturgeon, Theodore",1960,Venus Plus X
20450,"Galouye, Daniel F,",1961,Dark universe
 ,"Harrison, Harry",1961,Planet of the Damned (also known as Sense of Obligation)
 ,"White, James",1961,Second Ending
 ,"Heinlein, Robert A.",1961,Stranger in a Strange Land
 ,"Simak, Clifford D.",1961,The Fisherman (also known as Time is the Simplest Thing)
 ,"Clarke, Arthur C.",1962,A Fall of Moondust
20505,"L'Engle, Madeleine,",1962,A wrinkle in time
23507,"Huxley, Aldous,",1962,Island
 ,"Piper, H. Beam",1962,Little Fuzzy
20480,"Bradbury, Ray,",1962,Something wicked this way
 ,"Bruller, Jean",1962,Sylva
 ,"Dick, Philip K.",1962,The Man in the High Castle
 ,"Bradley, Marion Zimmer",1962,The Sword of Aldones
20496,"Garrett, Randall,",1962,Unwise child
20485,"Clifton, Mark,",1962,When they come from space
20563,"Vonnegut, Kurt,",1963,Cat's Cradle
 ,"Herbert, Frank",1963,Dune World
 ,"Heinlein, Robert A.",1963,Glory Road
 ,"Simak, Clifford D.",1963,Here Gather the Stars (also known as Way Station)
 ,"Norton, Andre",1963,Witch World
20573,"Clement, Hal,",1964,Close to critical
 ,"Pangborn, Edgar",1964,Davy
20572,"Burroughs, William S.",1964,Nova Express
 ,"Smith, Cordwainer",1964,The Planet Buyer (also known as The Boy Who Bought Old Earth)
 ,"Leiber, Fritz",1964,The Wanderer
 ,"Brunner, John",1964,The Whole Man
 ,"Zelazny, Roger",1965,...And Call Me Conrad (also known as This Immortal)
20655,"Raphael, Rick,",1965,Code three
 ,"Herbert, Frank",1965,Dune
 ,"Smith, Edward E.",1965,Skylark DuQuesne
 ,"Brunner, John",1965,The Squares of the City
20683,"Delany, Samuel R,",1966,Babel-17
 ,"Swann, Thomas Burnett",1966,Day of the Minotaur
20673,"Asimov, Isaac,",1966,Fantastic voyage
 ,"Keyes, Daniel",1966,Flowers for Algernon
20684,"Dick, Philip K,",1966,Now wait for last year
 ,"Heinlein, Robert A.",1966,The Moon Is a Harsh Mistress
20694,"Herbert, Frank,",1966,The eyes of Heisenberg
20712,"Schmitz, James H.",1966,The witches of Karres
20723,"Zelazny, Roger,",1966,This immortal
 ,"Garrett, Randall",1966,Too Many Magicians
 ,"Anthony, Piers",1967,Chthon
 ,"Zelazny, Roger",1967,Lord of Light
 ,"Anderson, Chester",1967,The Butterfly Kid
 ,"Delany, Samuel R.",1967,The Einstein Intersection
 ,"Silverberg, Robert",1967,Thorns
 ,"Delany, Samuel R.",1968,Nova
 ,"Lafferty, R. A.",1968,Past Master
 ,"Panshin, Alexei",1968,Rite of Passage
 ,"Brunner, John",1968,Stand on Zanzibar
 ,"Simak, Clifford D.",1968,The Goblin Reservation
 ,"Spinrad, Norman",1969,Bug Jack Barron
20821,"Dick, Philip K,",1969,Galactic pot-healer
 ,"Anthony, Piers",1969,Macroscope
 ,"Vonnegut, Kurt",1969,Slaughterhouse-Five
 ,Le Guin Ursula K.,1969,The Left Hand of Darkness
20819,"Davidson, Avram,",1969,The phoenix and the mirro
 ,"Silverberg, Robert",1969,Up the Line
20898,"Kurtz, Katherine,",1970,Deryni rising
20919,"Silverberg, Robert,",1970,Downward to the earth
 ,"Niven, Larry",1970,Ringworld
 ,"Clement, Hal",1970,Star Light
20866,"Anderson, Poul,",1970,Tau zero
 ,"Tucker, Wilson",1970,The Year of the Quiet Sun
 ,"Silverberg, Robert",1970,Tower of Glass
 ,"Silverberg, Robert",1971,A Time of Changes
 ,"McCaffrey, Anne",1971,Dragonquest
20961,"Hjortsberg, William,",1971,Gray matters
 ,"Zelazny, Roger",1971,Jack of Shadows
20956,"Geissler, Ludwig A,",1971,Looking beyond
 ,Le Guin Ursula K.,1971,The Lathe of Heaven
 ,"Farmer, Philip José",1971,To Your Scattered Bodies Go
 ,"Simak, Clifford D.",1972,A Choice of Gods
 ,"Silverberg, Robert",1972,Dying Inside
 ,"Silverberg, Robert",1972,The Book of Skulls
 ,"Asimov, Isaac",1972,The Gods Themselves
21035,"Levin, Ira,",1972,The Stepford wives
 ,"Anderson, Poul",1972,There Will Be Time
 ,"Gerrold, David",1972,When HARLIE Was One
21147,"Vonnegut, Kurt,",1973,Breakfast of Champions
21116,"Malzberg, Barry N,",1973,Herovit's world
 ,"Niven, Larry",1973,Protector
 ,"Clarke, Arthur C.",1973,Rendezvous with Rama
 ,"Gerrold, David",1973,The Man Who Folded Himself
 ,"Anderson, Poul",1973,The People of the Wind
 ,"Heinlein, Robert A.",1973,Time Enough for Love
 ,"Anderson, Poul",1974,Fire Time
 ,"Dick, Philip K.",1974,"Flow My Tears, the Policeman Said"
 ,"Priest, Christopher",1974,Inverted World
21187,"Le Guin, Ursula K.",1974,The Dispossessed
 ,"Niven, Larry, Pournelle, Jerry",1974,The Mote in God's Eye
 ,"Zelazny, Roger",1975,Doorways in the Sand
 ,"Niven, Larry, Pournelle, Jerry",1975,Inferno
 ,"Bester, Alfred",1975,The Computer Connection (also known as The Indian Giver)
 ,"Haldeman, Joe",1975,The Forever War
21286,"Silverberg, Robert,",1975,The stochastic man
21351,"Niven, Larry,",1976,A world out of time
 ,"Herbert, Frank",1976,Children of Dune
 ,"Pohl, Frederik",1976,Man Plus
 ,"Haldeman, Joe",1976,Mindbridge
21304,"Butler, Octavia E,",1976,Patternmaster
 ,"Silverberg, Robert",1976,Shadrach in the Furnace
 ,"Wilhelm, Kate",1976,Where Late the Sweet Birds Sang
21355,"Piercy, Marge,",1976,Woman on the edge of time
21412,"Dick, Philip K,",1977,A scanner darkly
 ,"Martin, George R. R.",1977,Dying of the Light
 ,"Pohl, Frederik",1977,Gateway
 ,"Niven, Larry, Pournelle, Jerry",1977,Lucifer's Hammer
21443,"Leiber, Fritz,",1977,Our lady of darkness
 ,"Bradley, Marion Zimmer",1977,The Forbidden Tower
21423,"Foster, Alan Dean,",1977,The end of the matter
21417,"Donaldson, Stephen R,",1977,The power that preserves
 ,"Dickson, Gordon R.",1977,Time Storm
 ,"Reamy, Tom",1978,Blind Voices
21500,"Bova, Ben,",1978,Colony
 ,"McIntyre, Vonda N.",1978,Dreamsnake
21552,"Lustbader, Eric,",1978,Shallows of night
 ,"Cherryh, C. J.",1978,The Faded Sun: Kesrith
 ,"McCaffrey, Anne",1978,The White Dragon
21672,"Stasheff, Christopher,",1979,A wizard in Bedlam
21670,"Schulman, J. Neil 1953-  ",1979,Alongside night
 ,"McKillip, Patricia A.",1979,Harpist in the Wind
 ,"Pohl, Frederik",1979,Jem
21685,"Zebrowski, George,",1979,Macrolife
21611,"Dickson, Gordon R,",1979,Masters of Everon
 ,"Disch, Thomas",1979,On Wings of Song
 ,"Clarke, Arthur C.",1979,The Fountains of Paradise
21631,"King, Stephen,",1979,The dead zone
 ,"Varley, John",1979,Titan
 ,"Pohl, Frederik",1980,Beyond the Blue Event Horizon
 ,"Silverberg, Robert",1980,Lord Valentine's Castle
 ,"Niven, Larry",1980,The Ringworld Engineers
 ,"Vinge, Joan D.",1980,The Snow Queen
21749,"Kurland, Michael,",1980,The last President
 ,"Varley, John",1980,Wizard
 ,"Cherryh, C. J.",1981,Downbelow Station
21876,"Niven, Larry,",1981,Dream Park
 ,"Crowley, John",1981,"Little, Big"
21877,"Niven, Larry,",1981,Oath of fealty
 ,"Simak, Clifford D.",1981,Project Pope
 ,"Wolfe, Gene",1981,The Claw of the Conciliator
21905,"Vardeman, Robert E,",1981,The Klingon gambit
21866,"McIntyre, Vonda N,",1981,The entropy effect
21864,"May, Julian,",1981,The many-colored land
 ,"Clarke, Arthur C.",1982,2010: Odyssey Two
21967,"Hubbard, L. Ron,",1982,Battlefield earth
21981,"Lorrah, Jean,",1982,Channel's destiny
 ,"Kingsbury, Donald",1982,Courtship Rite
 ,"Asimov, Isaac",1982,Foundation's Edge
 ,"Heinlein, Robert A.",1982,Friday
21929,"Bishop, Michael,",1982,No enemy but time
 ,"Cherryh, C. J.",1982,The Pride of Chanur
 ,"Wolfe, Gene",1982,The Sword of the Lictor
22073,"Foster, Alan Dean,",1983,For love of mother-not
 ,"Varley, John",1983,Millennium
 ,"McCaffrey, Anne",1983,Moreta: Dragonlady of Pern
 ,"Brin, David",1983,Startide Rising
 ,"MacAvoy, R. A.",1983,Tea with the Black Dragon
 ,"Asimov, Isaac",1983,The Robots of Dawn
22103,"May, Julian,",1983,The nonborn king
22168,"Cherryh, C. J,",1984,Chanur's venture
 ,"Palmer, David R.",1984,Emergence
 ,"Heinlein, Robert A.",1984,Job: A Comedy of Justice
22193,"Gibson, William",1984,Neuromancer
 ,"Niven, Larry",1984,The Integral Trees
 ,"Vinge, Vernor",1984,The Peace War
22305,"Benford, Gregory,",1985,Artifact
 ,"Bear, Greg",1985,Blood Music
 ,"Cherryh, C. J.",1985,Cuckoo's Egg
 ,"Card, Orson Scott",1985,Ender's Game
 ,"Niven, Larry, Pournelle, Jerry",1985,Footfall
 ,"Brin, David",1985,The Postman
22340,"Effinger, George Alec,",1985,The nick of time
 ,"Hubbard, L. Ron",1986,Black Genesis
 ,"Gibson, William",1986,Count Zero
22498,"Foster, Alan Dean,",1986,Into the out of
 ,"Vinge, Vernor",1986,Marooned in Realtime
 ,"Card, Orson Scott",1986,Speaker for the Dead
 ,"Shaw, Bob",1986,The Ragged Astronauts
22488,"Dickson, Gordon R,",1986,The forever man
 ,"Card, Orson Scott",1987,Seventh Son
22623,"Bonanno, Margaret Wander,",1987,Strangers from the sky
 ,"Bear, Greg",1987,The Forge of God
 ,"Brin, David",1987,The Uplift War
 ,"Wolfe, Gene",1987,The Urth of the New Sun
22803,"Williams, Walter Jon,",1987,Voice of the whirlwind
 ,"Effinger, George Alec",1987,When Gravity Fails
 ,"Cherryh, C. J.",1988,Cyteen
 ,"Bujold, Lois McMaster",1988,Falling Free
 ,"Sterling, Bruce",1988,Islands in the Net
 ,"Gibson, William",1988,Mona Lisa Overdrive
22960,"Rosenberg, Joel,",1988,Not for glory
 ,"Card, Orson Scott",1988,Red Prophet
22878,"Engh, M. J,",1988,Wheel of the winds
 ,"Effinger, George Alec",1989,A Fire in the Sun
23117,"Jeter, K. W,",1989,Farewell horizontal
 ,"Tepper, Sheri S.",1989,Grass
 ,"Simmons, Dan",1989,Hyperion
23059,"Cook, Robin,",1989,Mutation
23231,"Weinstein, Howard,",1989,Power hungry
 ,"Card, Orson Scott",1989,Prentice Alvin
23191,"Shatner, William,",1989,TekWar
 ,"Anderson, Poul",1989,The Boat of a Million Years
23165,"Powers, Tim,",1989,The stress of her regard
 ,"Brin, David",1990,Earth
23375,"McCaffrey, Anne,",1990,Pegasus in flight
 ,"Bear, Greg",1990,Queen of Angels
 ,"Simmons, Dan",1990,The Fall of Hyperion
 ,"Kube-McDowell, Michael P.",1990,The Quiet Pools
23267,"Bujold, Lois McMaster,",1990,The vor game
 ,"McCaffrey, Anne",1991,All the Weyrs of Pern
 ,"Bujold, Lois McMaster",1991,Barrayar
 ,"Bull, Emma",1991,Bone Dance
 ,"Swanwick, Michael",1991,Stations of the Tide
 ,"Vinge, Joan D.",1991,The Summer Queen
 ,"Card, Orson Scott",1991,Xenocide
 ,"Vinge, Vernor",1992,A Fire Upon the Deep
 ,"McHugh, Maureen F.",1992,China Mountain Zhang
23822,"McCaffrey, Anne,",1992,Crystal line
 ,"Willis, Connie",1992,Doomsday Book
 ,"Robinson, Kim Stanley",1992,Red Mars
23867,"Varley, John,",1992,Steel beach
23838,"Niven, Larry,",1992,The California voodoo game
 ,"Kress, Nancy",1993,Beggars in Spain
25362,"Asimov, Isaac,",1993,Forward the foundation
 ,"Brin, David",1993,Glory Season
 ,"Robinson, Kim Stanley",1993,Green Mars
 ,"Bear, Greg",1993,Moving Mars
 ,"Gibson, William",1993,Virtual Light
 ,"Kress, Nancy",1994,Beggars and Choosers
 ,"Bishop, Michael",1994,Brittle Innings
24001,"Benford, Gregory,",1994,Furious gulf
25519,"Silverberg, Robert,",1994,Hot sky at midnight
 ,"Bujold, Lois McMaster",1994,Mirror Dance
 ,"Barnes, John",1994,Mother of Storms
25530,"Wolverton, Dave,",1994,The courtship of Princess Leia
 ,"Morrow, James K.",1994,Towing Jehovah
 ,"Brin, David",1995,Brightness Reef
25578,"Hambly, Barbara,",1995,Children of the Jedi
25535,"Anderson, Kevin J.",1995,Darksaber
 ,"Willis, Connie",1995,Remake
 ,"Stephenson, Neal",1995,The Diamond Age
 ,"Sawyer, Robert J.",1995,The Terminal Experiment (also known as Hobson's Choice)
 ,"Baxter, Stephen",1995,The Time Ships
 ,"Robinson, Kim Stanley",1996,Blue Mars
 ,"Sterling, Bruce",1996,Holy Fire
 ,"Bujold, Lois McMaster",1996,Memory
 ,"Moon, Elizabeth",1996,Remnant Population
 ,"Sawyer, Robert J.",1996,Starplex
 ,"Williams, Walter Jon",1997,City on Fire
 ,"Haldeman, Joe",1997,Forever Peace
 ,"Sawyer, Robert J.",1997,Frameshift
 ,"Swanwick, Michael",1997,Jack Faust
 ,"Simmons, Dan",1997,The Rise of Endymion
24593,"Updike, John,",1997,Toward the end of time
24690,"Hopkinson, Nalo,",1998,Brown girl in the ring
 ,"Russell, Mary Doria",1998,Children of God
 ,"Wilson, Robert Charles",1998,Darwinia
 ,"Sterling, Bruce",1998,Distraction
 ,"Sawyer, Robert J.",1998,Factoring Humanity
 ,"Willis, Connie",1998,To Say Nothing of the Dog
24800,"Zahn, Timothy,",1998,Vision of the future
 ,"Bujold, Lois McMaster",1999,A Civil Campaign
 ,"Vinge, Vernor",1999,A Deepness in the Sky
 ,"Stephenson, Neal",1999,Cryptonomicon
 ,"Bear, Greg",1999,Darwin's Radio
 ,"Rowling, J. K.",1999,Harry Potter and the Prisoner of Azkaban
25987,"Crichton, Michael,",1999,Timeline
 ,"Martin, George R. R.",2000,A Storm of Swords
 ,"Sawyer, Robert J.",2000,Calculating God
 ,"Rowling, J. K.",2000,Harry Potter and the Goblet of Fire
 ,"Hopkinson, Nalo",2000,Midnight Robber
 ,"MacLeod, Ken",2000,The Sky Road
 ,"Gaiman, Neil",2001,American Gods
 ,"MacLeod, Ken",2001,Cosmonaut Keep
 ,"Willis, Connie",2001,Passage
 ,"Miéville, China",2001,Perdido Street Station
 ,"Wilson, Robert Charles",2001,The Chronoliths
 ,"Bujold, Lois McMaster",2001,The Curse of Chalion
 ,"Swanwick, Michael",2002,Bones of the Earth
 ,"Sawyer, Robert J.",2002,Hominids
 ,"Brin, David",2002,Kiln People (also known as Kil'n People)
 ,"Miéville, China",2002,The Scar
 ,"Robinson, Kim Stanley",2002,The Years of Rice and Salt
 ,"Wilson, Robert Charles",2003,Blind Lake
 ,"Sawyer, Robert J.",2003,Humans
 ,"Simmons, Dan",2003,Ilium
 ,"Bujold, Lois McMaster",2003,Paladin of Souls
 ,"Stross, Charles",2003,Singularity Sky
 ,"Miéville, China",2004,Iron Council
 ,"Stross, Charles",2004,Iron Sunrise
 ,"Clarke, Susanna",2004,Jonathan Strange & Mr Norrell
 ,"McDonald, Ian",2004,River of Gods
 ,"Banks, Iain M.",2004,The Algebraist
 ,"Martin, George R. R.",2005,A Feast for Crows
 ,"Stross, Charles",2005,Accelerando
 ,"MacLeod, Ken",2005,Learning the World
 ,"Scalzi, John",2005,Old Man's War
 ,"Wilson, Robert Charles",2005,Spin
 ,"Watts, Peter",2006,Blindsight
 ,"Flynn, Michael F.",2006,Eifelheim
 ,"Stross, Charles",2006,Glasshouse
 ,"Novik, Naomi",2006,His Majesty's Dragon
 ,"Vinge, Vernor",2006,Rainbows End
 ,"McDonald, Ian",2007,Brasyl
 ,"Stross, Charles",2007,Halting State
 ,"Sawyer, Robert J.",2007,Rollback
 ,"Scalzi, John",2007,The Last Colony
 ,"Chabon, Michael",2007,The Yiddish Policemen's Union
 ,"Stephenson, Neal",2008,Anathem
 ,"Doctorow, Cory",2008,Little Brother
 ,"Stross, Charles",2008,Saturn's Children
 ,"Gaiman, Neil",2008,The Graveyard Book
 ,"Scalzi, John",2008,Zoe's Tale
 ,"Priest, Cherie",2009,Boneshaker
 ,"Wilson, Robert Charles",2009,Julian Comstock: A Story of 22nd-Century America
 ,"Valente, Catherynne M.",2009,Palimpsest
 ,"Miéville, China",2009,The City & the City
 ,"Bacigalupi, Paolo",2009,The Windup Girl
 ,"Sawyer, Robert J.",2009,Wake
 ,"Willis, Connie",2010,Blackout/All Clear
 ,"Bujold, Lois McMaster",2010,Cryoburn
 ,"Grant, Mira",2010,Feed
 ,"McDonald, Ian",2010,The Dervish House
 ,"Jemisin, N. K.",2010,The Hundred Thousand Kingdoms
 ,"Martin, George R. R.",2011,A Dance with Dragons
 ,"Walton, Jo",2011,Among Others
 ,"Grant, Mira",2011,Deadline
 ,"Miéville, China",2011,Embassytown
 ,"Corey, James S. A.",2011,Leviathan Wakes
 ,"Robinson, Kim Stanley",2012,2312
 ,"Grant, Mira",2012,Blackout
 ,"Bujold, Lois McMaster",2012,Captain Vorpatril's Alliance
 ,"Scalzi, John",2012,Redshirts
 ,"Ahmed, Saladin",2012,Throne of the Crescent Moon
 ,"Leckie, Ann",2013,Ancillary Justice
 ,"Stross, Charles",2013,Neptune's Brood
 ,"Grant, Mira",2013,Parasite
 ,"Jordan, Robert, Sanderson, Brandon",2013,The Wheel of Time
 ,"Correia, Larry",2013,Warbound
 ,"Leckie, Ann",2014,Ancillary Sword
 ,"Butcher, Jim",2014,Skin Game
 ,"Anderson, Kevin J.",2014,The Dark Between the Stars
 ,"Addison, Katherine",2014,The Goblin Emperor
 ,"Liu, Cixin, Liu, Ken",2014,The Three-Body Problem
 ,"Leckie, Ann",2015,Ancillary Mercy
 ,"Stephenson, Neal",2015,Seveneves
 ,"Butcher, Jim",2015,The Cinder Spires: The Aeronaut's Windlass
 ,"Jemisin, N. K.",2015,The Fifth Season
 ,"Novik, Naomi",2015,Uprooted
 ,"Chambers, Becky",2016,A Closed and Common Orbit
 ,"Anders, Charlie Jane",2016,All the Birds in the Sky
 ,"(Chinese)[e], Cixin Liu, (translator)[e], Ken Liu",2016,Death's End
 ,"Lee, Yoon Ha",2016,Ninefox Gambit
 ,"Jemisin, N. K.",2016,The Obelisk Gate
 ,"Palmer, Ada",2016,Too Like the Lightning
 ,"Robinson, Kim Stanley",2017,New York 2140
 ,"Leckie, Ann",2017,Provenance
 ,"Lee, Yoon Ha",2017,Raven Stratagem
 ,"Lafferty, Mur",2017,Six Wakes
 ,"Scalzi, John",2017,The Collapsing Empire
 ,"Jemisin, N. K.",2017,The Stone Sky
 ,"Chambers, Becky",2018,Record of a Spaceborn Few
 ,"Lee, Yoon Ha",2018,Revenant Gun
 ,"Valente, Catherynne M.",2018,Space Opera
 ,"Novik, Naomi",2018,Spinning Silver
 ,"Kowal, Mary Robinette",2018,The Calculating Stars
 ,"Roanhorse, Rebecca",2018,Trail of Lightning
